,Score,Scaling Parameter,Problem Idx,Model,Benchmark,Log Score,Neg Log Score,Num. Samples Total,Num. Samples Correct
72941,1.0,650,109,Pythia 6.9B,MATH,0.0,-0.0,10000,10000.0
72942,0.9999919657037982,650,110,Pythia 6.9B,MATH,-8.034328476906028e-06,8.034328476906028e-06,10000,9999.919657037983
72943,0.23576253502340971,650,111,Pythia 6.9B,MATH,-1.4449301880510825,1.4449301880510825,10000,2357.625350234097
72944,0.995774250583028,650,112,Pythia 6.9B,MATH,-0.004234703129037805,0.004234703129037805,10000,9957.74250583028
72945,0.0,650,113,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72946,0.9754450972528431,650,114,Pythia 6.9B,MATH,-0.024861402150363653,0.024861402150363653,10000,9754.450972528432
72947,0.0,650,115,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72948,0.48951832404195206,650,116,Pythia 6.9B,MATH,-0.714333383510065,0.714333383510065,10000,4895.18324041952
72949,0.0,650,117,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72950,1.0,650,118,Pythia 6.9B,MATH,0.0,-0.0,10000,10000.0
72951,0.995774250583028,650,119,Pythia 6.9B,MATH,-0.004234703129037805,0.004234703129037805,10000,9957.74250583028
72952,0.18261667515021152,650,120,Pythia 6.9B,MATH,-1.7003659943433658,1.7003659943433658,10000,1826.1667515021152
72953,0.9998486559654634,650,121,Pythia 6.9B,MATH,-0.00015135548820068766,0.00015135548820068766,10000,9998.486559654633
72954,0.23576253502340971,650,122,Pythia 6.9B,MATH,-1.4449301880510825,1.4449301880510825,10000,2357.625350234097
72955,0.999997813610109,650,123,Pythia 6.9B,MATH,-2.18639228117735e-06,2.18639228117735e-06,10000,9999.97813610109
72956,0.0,650,124,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72957,0.0,650,125,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72958,0.0,650,126,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72959,0.0,650,127,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72960,0.999987192938655,700,0,Pythia 6.9B,MATH,-1.2807143356098576e-05,1.2807143356098576e-05,10000,9999.87192938655
72961,0.9960614276445733,700,1,Pythia 6.9B,MATH,-0.003946348957381805,0.003946348957381805,10000,9960.614276445733
72962,0.9996490420350251,700,2,Pythia 6.9B,MATH,-0.00035101956513458523,0.00035101956513458523,10000,9996.490420350252
72963,0.1956611658365277,700,3,Pythia 6.9B,MATH,-1.6313708614889146,1.6313708614889146,10000,1956.611658365277
72964,1.0,700,4,Pythia 6.9B,MATH,0.0,-0.0,10000,10000.0
72965,0.8692972979272887,700,5,Pythia 6.9B,MATH,-0.14007009723360841,0.14007009723360841,10000,8692.972979272887
72966,0.9954410609135176,700,6,Pythia 6.9B,MATH,-0.004569362741884725,0.004569362741884725,10000,9954.410609135175
72967,0.9989455747868973,700,7,Pythia 6.9B,MATH,-0.0010549815104514216,0.0010549815104514216,10000,9989.455747868973
72968,1.0,700,8,Pythia 6.9B,MATH,0.0,-0.0,10000,10000.0
72969,0.9842133329660812,700,9,Pythia 6.9B,MATH,-0.01591260363319859,0.01591260363319859,10000,9842.133329660812
72970,0.9890419083635731,700,10,Pythia 6.9B,MATH,-0.011018573774313157,0.011018573774313157,10000,9890.41908363573
72971,0.07000000000000006,700,11,Pythia 6.9B,MATH,-2.659260036932777,2.659260036932777,10000,700.0000000000006
72972,0.9999999999999863,700,12,Pythia 6.9B,MATH,-1.3655743202889519e-14,1.3655743202889519e-14,10000,9999.999999999864
